Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
32150047,CARLTON FOOTBALL CLUB LIMITED,CLUB LAVERTON,Full Club Licence,Full club licence,Trading to 11PM,LAVERTON,-37.86817195,144.76189409999998,PO BOX 640,LAVERTON,3028,HOBSONS BAY CITY COUNCIL,Metro West,Metro,Y,POINT (144.7618941 -37.86817195),Hobsons Bay - Altona
32150152,STRATHALLAN GOLF CLUB INCORPORATED,STRATHALLAN GOLF CLUB,Full Club Licence,Full club licence,Trading to 11PM,BUNDOORA,-37.71429635,145.0561282,P O BOX 5047,HEIDELBERG WEST,3081,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.0561282 -37.71429635),Darebin - Preston
32150241,COLLINGWOOD FOOTBALL CLUB LIMITED,THE CLUB,Full Club Licence,Full club licence,Trading to 11PM,CAROLINE SPRINGS,-37.755949,144.741945,LEXUS CENTRE - OLYMPIC PARK CNR SWAN STREET & BATMAN AVENUE,MELBOURNE,3000,MELTON CITY COUNCIL,NORTH WEST,Regional,Y,POINT (144.741945 -37.755949),Melton - East
32150291,WATSONIA RSL SUB-BRANCH INC,WATSONIA RSL SUB-BRANCH,Full Club Licence,Full club licence,Trading to 11PM,WATSONIA,-37.709476,145.082083,6 MORWELL AVENUE,WATSONIA,3087,BANYULE CITY COUNCIL,Metro North,Metro,Y,POINT (145.082083 -37.709476),Banyule - North
32200012,THE TIPPLER & CO PTY LTD,THE TIPPLER & CO,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,EAST MELBOURNE,-37.81651479,144.98824340000002,62 WELLINGTON PARADE,EAST MELBOURNE,3002,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9882434 -37.81651479),Port Phillip - West
32200038,TOP HAT LIQUOR SUPPLIES PTY LTD,GROSSI FLORENTINO,Restaurant and cafe Licence,Trading to 7am,Trading to 8AM,MELBOURNE,-37.81178254,144.9708561,78-84 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9708561 -37.81178254),Melbourne - Inner
32200339,G K GROUP PTY LTD,THE GOLDEN TRIANGLE RESTAURANT,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,SOUTH YARRA,-37.83428313,144.98228400000002,123 PARK STREET,SOUTH YARRA,3141,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.982284 -37.83428313),Port Phillip - West
32200410,BARKLES AND BERGLEY PTY LTD,MUTTI'S,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,CARLTON,-37.797318100000005,144.9708318,118-120 ELGIN STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9708318 -37.7973181),Port Phillip - West
32200957,KEYLINE ENTERPRISES PTY LTD,MONK & ME,Restaurant and cafe Licence,Trading to 12 midnight,Trading to Midnight,HAWTHORN EAST,-37.83005415,145.0557036,7-9 EVANS PLACE,HAWTHORN EAST,3123,BOROONDARA CITY COUNCIL,Metro East,Metro,N,POINT (145.0557036 -37.83005415),Boroondara  - Hawthorn
32201385,BAMBOO HOUSE VIC PTY LTD,BAMBOO HOUSE RESTAURANT,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81105685,144.9710853,47 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9710853 -37.81105685),Melbourne - Inner
32201652,JMCM HOLDINGS PTY LTD,SHANGHAI VILLAGE,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81128647,144.96909519999997,112-114 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9690952 -37.81128647),Melbourne - Inner
32202129,METROSUN PTY LTD,VEGIE BOWL SPRINGVALE,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,SPRINGVALE,-37.934298,145.158759,17 SWINDON AVENUE,GLEN WAVERLEY,3150,GREATER DANDENONG CITY COUNCIL,Metro South,Metro,N,POINT (145.158759 -37.934298),Gr. Dandenong Bal
32202292,CARLINTON INVESTMENTS PTY LTD,LA PORCHETTA,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,IVANHOE,-37.775594,145.039173,1014-1024 HEIDELBERG ROAD,IVANHOE,3079,BANYULE CITY COUNCIL,Metro North,Metro,N,POINT (145.039173 -37.775594),Banyule - Heidelberg
32202705,DANA HOSPITALITY AUST PTY LTD,ESTIVO RESTAURANT,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,KEW,-37.804885,145.036558,330-332 HIGH STREET,KEW,3101,BOROONDARA CITY COUNCIL,Metro East,Metro,N,POINT (145.036558 -37.804885),Boroondara  - Kew
32203214,CHIU 88 PTY LTD,TAO'S RESTAURANT,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,BULLEEN,-37.76596,145.08129399999999,201 BULLEEN ROAD,BULLEEN,3105,MANNINGHAM CITY COUNCIL,Metro East,Metro,N,POINT (145.081294 -37.76596),Manningham - West
32203337,TAO AUSTRALIA PTY LTD,TACO BILL CLIFTON HILL,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,CLIFTON HILL,-37.7897049,144.98932290000002,99 QUEENS PARADE,CLIFTON HILL,3068,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.9893229 -37.7897049),Yarra - North
32204406,JING KUN CATERING GROUP PTY LTD,FOUR LARKS,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,ABBOTSFORD,-37.81147837,145.01232221,9 WALDEN COURT,BUNDOORA,3083,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (145.01232221 -37.81147837),Yarra - North
32204498,LUCK SRI FOOD SERVICES PTY LTD,CARDENS SEAFOOD AND STEAK HOUSE,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,DANDENONG,-37.984464,145.214416,14 PLEVEN RISE,CLYDE NORTH,3978,GREATER DANDENONG CITY COUNCIL,Metro South,Metro,N,POINT (145.214416 -37.984464),Gr. Dandenong - Dandenong
32204537,MAIN LEAD BALLARAT PTY LTD,COMFORT INN MAIN LEAD MOTEL,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,BALLARAT,-37.726822999999996,145.124337,312-316 MAIN ROAD,BALLARAT,3350,BALLARAT CITY COUNCIL,Grampians,Regional,N,POINT (145.124337 -37.726823),Banyule - North
